analysis_family,suite,partition,comparison,metric,n,mean_difference,paired_effect_size_dz,rank_biserial_correlation,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,paired_t_p_holm,evidence_type,source_file,attack_type,client_count
expanded_sensitivity,adversarial,,B6-B0,equalized_odds_gap,5,-0.0847896705299438,-0.5329163261278957,-0.6,-1.1916371315414225,0.2992726620229617,3.0,0.3125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,label_flip,
expanded_sensitivity,adversarial,,B6-B0,subgroup_accuracy_gap,5,-0.0133052915145528,-0.2425035791928366,-0.2,-0.5422544878621862,0.6164398047910478,6.0,0.8125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,label_flip,
expanded_sensitivity,adversarial,,B6-B0,accuracy,5,-0.0064010624169986,-0.4016569042911017,-0.3333333333333333,-0.8981321416270304,0.4198897626245855,5.0,0.625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,none,
expanded_sensitivity,adversarial,,B6-B0,macro_f1,5,-0.0048759736894793,-0.038736159166538,-0.3333333333333333,-0.0866166850836307,0.9351388237094836,5.0,0.625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,none,
expanded_sensitivity,adversarial,,B6-B0,demographic_parity_gap,5,0.0072538247100013,0.1279518481879937,-0.3333333333333333,0.2861090303950872,0.7890007217716758,5.0,0.625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,none,
expanded_sensitivity,adversarial,,B6-B0,equal_opportunity_gap,5,-0.0167749025933781,-1.3558258082020112,-0.8666666666666667,-3.0317186727882883,0.0387152195419419,1.0,0.125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,none,
expanded_sensitivity,adversarial,,B6-B0,equalized_odds_gap,5,-0.0073190640207039,-0.4033833284217471,-0.4666666666666667,-0.9019925433411496,0.4180639518312193,4.0,0.4375,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,none,
expanded_sensitivity,adversarial,,B6-B0,subgroup_accuracy_gap,5,-0.0101356948842248,-0.2028515018378464,0.3333333333333333,-0.4535897474473482,0.6736430516421917,5.0,0.625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,none,
expanded_sensitivity,adversarial,,B6-B0,accuracy,5,0.1285126162018592,0.8780942206990983,1.0,1.963478368132887,0.1210708781872969,0.0,0.0625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,random_weights,
expanded_sensitivity,adversarial,,B6-B0,macro_f1,5,-0.0114439958356963,-0.0702750579909405,-0.2,-0.1571398067904828,0.8827475284178871,6.0,0.8125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,random_weights,
expanded_sensitivity,adversarial,,B6-B0,demographic_parity_gap,5,-0.0287707239303789,-0.3209414161384021,-0.4666666666666667,-0.7176468232805153,0.5126541882246632,4.0,0.4375,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,random_weights,
expanded_sensitivity,adversarial,,B6-B0,equal_opportunity_gap,5,-0.0498496844887987,-0.7534588131875122,-0.7333333333333333,-1.6847851245335923,0.1673130344859795,2.0,0.1875,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,random_weights,
