run_id,suite,partition,method,metric,client_count,policy_profile,attack_type,n,mean,ci95_low,ci95_high,evidence_type,source_file
expanded-analysis-6df6bfb,scaling,,B5,macro_f1,20.0,,,5,0.4474181162707725,0.4301403681103083,0.4708649901915391,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,demographic_parity_gap,20.0,,,5,0.0025840097643813,2.228587213512e-05,0.0064906810251605,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,equal_opportunity_gap,20.0,,,5,0.0064355488329769,0.0002317994848773,0.0134572796062721,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,equalized_odds_gap,20.0,,,5,0.0064355488329769,0.0002317994848773,0.0134572796062721,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,subgroup_accuracy_gap,20.0,,,5,0.1938748072778557,0.1904710866284345,0.1963543281961957,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,runtime_ms,20.0,,,5,118.37695820722728,110.659816802945,126.2382496148348,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,accuracy,20.0,,,5,0.7746613545816733,0.7663479415670651,0.7840239043824702,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,macro_f1,20.0,,,5,0.5270688928067526,0.4860140033239729,0.5735636889629545,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,demographic_parity_gap,20.0,,,5,0.0308111349364223,0.0165074644332223,0.0481357813798869,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,equal_opportunity_gap,20.0,,,5,0.0320776671078358,0.0191773231786346,0.0482598758975946,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
