suite,method,metric,n,mean,std,ci95_low,ci95_high,minimum,maximum,client_count,partition,policy_profile,attack_type
threshold,B3,subgroup_accuracy_gap,10,0.19108966902190155,0.0017670394024040309,0.18982560518226954,0.19235373286153357,0.1870161385620389,0.1941202367132722,,,submitted,
threshold,B3,runtime_ms,10,71.10422920086421,3.331088605053054,68.72131196283932,73.4871464388891,65.94395800493658,76.8831669993233,,,submitted,
adversarial,B0,accuracy,5,0.7730677290836654,0.028394533770906314,0.73781125875455,0.8083241994127808,0.7330013280212483,0.801062416998672,,,,label_flip
adversarial,B0,macro_f1,5,0.5932672606494289,0.10313502179272206,0.4652082171354453,0.7213263041634126,0.4299772899318698,0.7078223513291446,,,,label_flip
adversarial,B0,demographic_parity_gap,5,0.1324006191019291,0.18654352298469476,-0.09922375748626275,0.3640249956901209,0.0,0.4618091462382682,,,,label_flip
adversarial,B0,equal_opportunity_gap,5,0.11305885639113673,0.12810891437265137,-0.04600937043435323,0.2721270832166267,0.0,0.3342259536595243,,,,label_flip
adversarial,B0,equalized_odds_gap,5,0.12045354642525355,0.144131733044307,-0.05850963749457824,0.2994167303450853,0.0,0.3711994038301083,,,,label_flip
adversarial,B0,subgroup_accuracy_gap,5,0.17398082504304568,0.028678410167955578,0.1383718756117745,0.20958977447431687,0.1430048508781285,0.2113938938435449,,,,label_flip
adversarial,B0,runtime_ms,5,81.32241680868901,2.080063822171877,78.73967644673208,83.90515717064595,78.78995902137831,83.20679099415429,,,,label_flip
adversarial,B6,accuracy,5,0.7670517928286853,0.010770428355008263,0.7536785396950385,0.7804250459623321,0.7566401062416999,0.7815405046480743,,,,label_flip
adversarial,B6,macro_f1,5,0.5282245532935538,0.11673664581108285,0.383276862918868,0.6731722436682396,0.4399184762548393,0.7178831756603238,,,,label_flip
adversarial,B6,demographic_parity_gap,5,0.03602149160445456,0.04443615048767995,-0.019153276674862274,0.09119625988377139,0.0025430165975988,0.105297195344054,,,,label_flip
adversarial,B6,equal_opportunity_gap,5,0.03566387589530974,0.03756440632113463,-0.010978495047541031,0.08230624683816051,0.0047953589836009,0.0852934137072437,,,,label_flip
