suite,partition,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count
adult,joint_dirichlet_0.3,B1,demographic_parity_gap,10,0.02993329623835536,0.006746879719983102,0.0271996160812205,0.026788063572546393,0.03413052637725531,0.0260620737563675,0.0466374701013762,
adult,joint_dirichlet_0.3,B1,equal_opportunity_gap,10,0.030600388084204056,0.009465179998029184,0.026704922911534,0.02661861216198998,0.03675484148468195,0.025977764842907,0.0563407555246591,
adult,joint_dirichlet_0.3,B1,equalized_odds_gap,10,0.030600388084204056,0.009465179998029184,0.026704922911534,0.02658679542638704,0.03702319451449773,0.025977764842907,0.0563407555246591,
adult,joint_dirichlet_0.3,B1,subgroup_accuracy_gap,10,0.1766076573815352,0.004435562423847046,0.17856773694550876,0.17371112782740963,0.17874920537626707,0.1665070983511644,0.1793400497321975,
adult,joint_dirichlet_0.3,B1,runtime_ms,10,89.53048759140074,6.545629945860557,89.93741645826958,85.66191078833072,93.3328153315233,80.9808750054799,99.14620796917006,
adult,joint_dirichlet_0.3,B3,accuracy,10,0.7659893758300133,0.017374783949090762,0.7613877822045152,0.7587647742363878,0.7776029216467463,0.7548472775564409,0.8140106241699867,
adult,joint_dirichlet_0.3,B3,macro_f1,10,0.4854193343738478,0.08711968686564267,0.46187060115991585,0.44942936264804206,0.543803491211799,0.4322650241848488,0.7272750741661977,
adult,joint_dirichlet_0.3,B3,demographic_parity_gap,10,0.02729956350381325,0.06212274431894648,0.0078892890026482,0.005270885528025991,0.0676107863601074,0.0007884103675963,0.2033982203918698,
adult,joint_dirichlet_0.3,B3,equal_opportunity_gap,10,0.03514264122317921,0.08112987523881848,0.0082386495080972,0.006413561298054218,0.08787582447900805,0.0025453388482341,0.2651762115921449,
adult,joint_dirichlet_0.3,B3,equalized_odds_gap,10,0.03514264122317921,0.08112987523881848,0.0082386495080972,0.006438406341412379,0.08745300890925715,0.0025453388482341,0.2651762115921449,
adult,joint_dirichlet_0.3,B3,subgroup_accuracy_gap,10,0.1836405330146741,0.0212835162745358,0.19025867277982905,0.16977372859149614,0.19205028393825896,0.1240894410881796,0.1955856280877892,
adult,joint_dirichlet_0.3,B3,runtime_ms,10,87.83845819998533,8.28524587801682,84.7807495156303,83.4374575012771,93.02745353241335,78.7742089596577,106.1600839602761,
adult,joint_dirichlet_0.3,B5,accuracy,10,0.647410358565737,0.17882919881693288,0.7541500664010624,0.5315202523240371,0.7505179282868525,0.2821381142098274,0.7553784860557768,
adult,joint_dirichlet_0.3,B5,macro_f1,10,0.44692301579849875,0.11564922425545052,0.4299772899318698,0.3853043989830343,0.5207020432381546,0.2492734944275383,0.7128879442488342,
adult,joint_dirichlet_0.3,B5,demographic_parity_gap,10,0.04940310470883623,0.09100554361548115,0.0025194970790763504,0.004839218013820847,0.1095088795058658,0.0,0.2591445141720995,
adult,joint_dirichlet_0.3,B5,equal_opportunity_gap,10,0.01118081216644548,0.028771266882025633,0.0,0.0006612968547129001,0.029926752962183722,0.0,0.0924456102329932,
adult,joint_dirichlet_0.3,B5,equalized_odds_gap,10,0.031919892321067046,0.060502715422021854,0.0022754280775671,0.0023342617022202696,0.07184954682269463,0.0,0.1653274083443856,
adult,joint_dirichlet_0.3,B5,subgroup_accuracy_gap,10,0.16169719734195936,0.060277222485902816,0.19543136211150192,0.12270718173362459,0.19220333356929736,0.020651140227261,0.1963740384553856,
adult,joint_dirichlet_0.3,B5,runtime_ms,10,128.76390840974636,7.491838350302333,127.63931252993643,124.30011154094245,133.07566289353417,115.09424995165318,138.72566702775657,
compas,iid,B0,accuracy,10,0.6561868686868687,0.002231036747592345,0.6559343434343434,0.6549242424242424,0.6575757575757576,0.6540404040404041,0.6603535353535354,
compas,iid,B0,macro_f1,10,0.6427214304055505,0.001876008025411712,0.6432184421362557,0.6416293794247505,0.6438174794219268,0.6400764270360639,0.6453308251275606,
compas,iid,B0,demographic_parity_gap,10,0.2045713221997659,0.0035915655426930542,0.20499149026699276,0.202454459631954,0.2065737687480055,0.1975853632592278,0.2092330603127327,
compas,iid,B0,equal_opportunity_gap,10,0.1270213839941262,0.0065691634126060165,0.125298274596182,0.12345585535976497,0.1311077459618208,0.1192868942731277,0.13931718061674,
compas,iid,B0,equalized_odds_gap,10,0.22151509262857877,0.0057692445216163575,0.2195232543075527,0.21829900246145867,0.22513278922140162,0.2154424148205725,0.231571447078637,
compas,iid,B0,subgroup_accuracy_gap,10,0.013926709924476038,0.005688260641744995,0.0122460376555685,0.01055738751196673,0.017301350920114818,0.006967343899585,0.0227635357940644,
compas,iid,B0,runtime_ms,10,42.77117910096422,1.886448427476012,42.77072899276391,41.635016712825745,43.87533778863144,39.5483750035055,45.78591696918011,
compas,iid,B1,accuracy,10,0.6561868686868687,0.002231036747592345,0.6559343434343434,0.6549242424242424,0.6575757575757576,0.6540404040404041,0.6603535353535354,
compas,iid,B1,macro_f1,10,0.6427214304055505,0.001876008025411712,0.6432184421362557,0.6416306403050199,0.6438122130068027,0.6400764270360639,0.6453308251275606,
