scenario_id,seed,client_count,partition,policy_profile,method,round,aggregation_status,included_clients,excluded_clients,approval_rate,global_accuracy,global_macro_f1,global_demographic_parity_gap,global_equal_opportunity_gap,global_equalized_odds_gap,global_subgroup_accuracy_gap
threshold_sensitivity,7005,10,joint_dirichlet_0.3,submitted,B3,3,updated,6,4,0.6,0.7569060773480663,0.4537413586327632,0.006134355510513682,0.007061996965401836,0.007061996965401836,0.1944659106406078
threshold_sensitivity,7005,10,joint_dirichlet_0.3,submitted,B3,4,updated,6,4,0.6,0.756243093922652,0.4510324691101789,0.0051530012416226125,0.003933738362690679,0.003933738362690679,0.19544726490949882
threshold_sensitivity,7005,10,joint_dirichlet_0.3,submitted,B3,5,updated,6,4,0.6,0.756243093922652,0.4510324691101789,0.0051530012416226125,0.003933738362690679,0.003933738362690679,0.19544726490949882
threshold_sensitivity,7005,10,joint_dirichlet_0.3,moderate,B3,1,updated,5,5,0.5,0.756243093922652,0.45021611546455714,0.0044987650623618996,0.0028909854951202907,0.0028909854951202907,0.19544726490949882
threshold_sensitivity,7005,10,joint_dirichlet_0.3,moderate,B3,2,updated,4,6,0.4,0.7560220994475139,0.4493080303403099,0.004171646972731543,0.0018482326275499061,0.0018482326275499061,0.1957743829991292
threshold_sensitivity,7005,10,joint_dirichlet_0.3,moderate,B3,3,updated,4,6,0.4,0.7560220994475139,0.4493080303403099,0.004171646972731543,0.0018482326275499061,0.0018482326275499061,0.1957743829991292
threshold_sensitivity,7005,10,joint_dirichlet_0.3,moderate,B3,4,updated,4,6,0.4,0.7560220994475139,0.4493080303403099,0.004171646972731543,0.0018482326275499061,0.0018482326275499061,0.1957743829991292
threshold_sensitivity,7005,10,joint_dirichlet_0.3,moderate,B3,5,updated,4,6,0.4,0.7558011049723757,0.44921922718797425,0.0044987650623618996,0.0018482326275499061,0.0018482326275499061,0.19610150108875957
threshold_sensitivity,7005,10,joint_dirichlet_0.3,strict,B3,1,skipped_no_eligible_clients,0,10,0.0,0.24883977900552487,0.19925676871350204,0.0,0.0,0.0,0.19994602997186073
threshold_sensitivity,7005,10,joint_dirichlet_0.3,strict,B3,2,skipped_no_eligible_clients,0,10,0.0,0.24883977900552487,0.19925676871350204,0.0,0.0,0.0,0.19994602997186073
threshold_sensitivity,7005,10,joint_dirichlet_0.3,strict,B3,3,skipped_no_eligible_clients,0,10,0.0,0.24883977900552487,0.19925676871350204,0.0,0.0,0.0,0.19994602997186073
threshold_sensitivity,7005,10,joint_dirichlet_0.3,strict,B3,4,skipped_no_eligible_clients,0,10,0.0,0.24883977900552487,0.19925676871350204,0.0,0.0,0.0,0.19994602997186073
threshold_sensitivity,7005,10,joint_dirichlet_0.3,strict,B3,5,skipped_no_eligible_clients,0,10,0.0,0.24883977900552487,0.19925676871350204,0.0,0.0,0.0,0.19994602997186073
threshold_sensitivity,7006,10,joint_dirichlet_0.3,lenient,B3,1,updated,4,6,0.4,0.767292817679558,0.506985797048035,0.026226937951848574,0.03968704925914594,0.03968704925914594,0.18211631142711726
