scenario_id,seed,client_count,partition,policy_profile,attack_type,method,round,client_id,malicious_client,train_samples,evaluation_samples,valid_update,approved,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,undefined_metrics,runtime_ms
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,4,2,False,605,152,True,True,0.9078947368421053,0.47586206896551725,0.007042253521126761,0.0,0.007352941176470588,0.6507042253521127,,1.1457079963292927
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,4,3,False,1432,358,True,False,0.9441340782122905,0.5310453235525282,,,,,"comparison_groups,subgroup_accuracy_gap",1.200000027893111
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,4,4,True,1224,307,True,False,0.46579804560260585,0.31777777777777777,0.0,0.0,0.0,0.9402670111972438,,1.1080840195063502
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,4,5,False,1093,274,False,False,,,,,,,,0.02070798655040562
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,4,6,False,8685,2172,True,True,0.7237569060773481,0.6773145598681526,0.1753871591029252,,,0.24086054581983518,"equal_opportunity_gap,equalized_odds_gap",2.9440000071190298
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,4,7,False,169,43,True,False,0.8604651162790697,0.8603896103896104,0.76,,,0.24,"equal_opportunity_gap,equalized_odds_gap,false_positive_rate_gap",0.6623749795835465
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,4,8,False,206,52,True,True,0.9423076923076923,0.48514851485148514,0.0,0.0,0.0,0.012612612612612595,,0.6485000194516033
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,4,9,False,3320,830,True,True,0.8397590361445784,0.526781695423856,0.018288179846367658,0.08029197080291971,0.08029197080291971,0.29954817438026615,,1.9030830007977784
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,5,0,True,2882,721,True,False,0.1914008321775312,0.18027438400109208,0.016762271957870944,0.0,0.030280201011908314,0.09200050153595385,,1.537249976536259
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,5,1,False,889,223,True,True,0.9955156950672646,0.49887640449438203,0.0,,,0.008547008547008517,"equal_opportunity_gap,equalized_odds_gap",0.8844590047374368
