suite,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count,partition,policy_profile,attack_type
adversarial,B0,equal_opportunity_gap,5,0.032500252763114926,0.006615547208069217,0.0290229177603074,0.027459385108739482,0.03754112041749036,0.0264775789120732,0.0401364977942491,,,,none
adversarial,B0,equalized_odds_gap,5,0.032500252763114926,0.006615547208069217,0.0290229177603074,0.027459385108739482,0.03754112041749036,0.0264775789120732,0.0401364977942491,,,,none
adversarial,B0,subgroup_accuracy_gap,5,0.17634498497970327,0.003651368849846641,0.1784595271010145,0.17354315939969042,0.17908510416920115,0.1719937757625234,0.1797406939483586,,,,none
adversarial,B0,runtime_ms,5,82.86353340372443,5.3315544154333,81.9450420094654,78.78615839290433,87.44971681735478,76.26949998666532,91.11950002261436,,,,none
adversarial,B6,accuracy,5,0.7687782204515272,0.014983366997297328,0.7611553784860557,0.7587118193891103,0.7819654714475431,0.7572377158034529,0.7930278884462152,,,,none
adversarial,B6,macro_f1,5,0.5221285284038968,0.12106891237025495,0.4611661070236427,0.4498838696087928,0.6337768075261827,0.4424467075740961,0.7309271051045844,,,,none
adversarial,B6,demographic_parity_gap,5,0.03725526637123472,0.055078129706092334,0.0087987872794648,0.0059177275005916396,0.08749303275636032,0.0034299782611447,0.1334320959204798,,,,none
adversarial,B6,equal_opportunity_gap,5,0.0157253501697368,0.01624692972050111,0.012704416814088,0.00555404817979134,0.030317750368291495,0.0007871357569269,0.0432267767818942,,,,none
adversarial,B6,equalized_odds_gap,5,0.02518118874241096,0.0189180807899864,0.0142495563079105,0.01099522406236306,0.04002603589137506,0.0076588651878644,0.0480663286202977,,,,none
adversarial,B6,subgroup_accuracy_gap,5,0.1662092900954784,0.04871197199688092,0.1895462770949115,0.12198622043062439,0.19148124443266917,0.0797084205553089,0.1929440601942409,,,,none
adversarial,B6,runtime_ms,5,80.54880860145204,2.5403260358520483,79.37941601267084,78.61605040961877,82.50152539112605,77.86108402069658,83.50204199086875,,,,none
adversarial,B0,accuracy,5,0.6439442231075697,0.1487693864712003,0.7158698539176627,0.5110756972111553,0.7301593625498007,0.3855245683930943,0.7479415670650731,,,,random_weights
adversarial,B0,macro_f1,5,0.5390674631097035,0.11001549006933788,0.5558807380111764,0.44656414814506434,0.6221940297025773,0.3854425311506215,0.6784780510630831,,,,random_weights
adversarial,B0,demographic_parity_gap,5,0.06704631415445138,0.07623005062306878,0.0378466263010882,0.023064966968064798,0.13519446910789973,0.0133801888947312,0.2000930309791074,,,,random_weights
adversarial,B0,equal_opportunity_gap,5,0.07808763711327955,0.07560713518980287,0.0749652557819919,0.021277798944506897,0.13721695529263114,0.00116299593694,0.1858874213078449,,,,random_weights
adversarial,B0,equalized_odds_gap,5,0.09184259959633945,0.061255186354008354,0.0749652557819919,0.0487877239106267,0.14267915192691172,0.0268488844627155,0.1858874213078449,,,,random_weights
adversarial,B0,subgroup_accuracy_gap,5,0.1064378829657124,0.031382758405229874,0.1018986700509633,0.08380961077132568,0.13235286194227175,0.0779192521671706,0.1546964085504653,,,,random_weights
adversarial,B0,runtime_ms,5,80.98736699903384,3.2705065979991175,82.55816699238494,78.36831720196642,83.45876699313521,76.87683400581591,84.29075000458397,,,,random_weights
adversarial,B6,accuracy,5,0.7724568393094289,0.019933893117334355,0.7606241699867198,0.7592961487383798,0.7902390438247011,0.7580345285524568,0.8047144754316069,,,,random_weights
adversarial,B6,macro_f1,5,0.5276234672740073,0.11902452586737455,0.4582712137095431,0.4521812842502742,0.6352539269009534,0.4458000865736654,0.7259705145207608,,,,random_weights
adversarial,B6,demographic_parity_gap,5,0.038275590224072474,0.050829112963581786,0.0074383862332605,0.0063003424261363,0.08452262628833049,0.0046125938125392,0.1230463178453609,,,,random_weights
adversarial,B6,equal_opportunity_gap,5,0.028237952624480783,0.025850150983659715,0.0123634008148968,0.010745259906172,0.05109630645971121,0.009204575897766,0.0689532065500205,,,,random_weights
